id,x,y
가면,-197.13927,2565.5808
가정,-235.32092,250.82112
개통,-503.12253,65.636055
경비실,-450.07782,-132.59929
괜찮다,-222.97127,308.17957
국자,-181.13046,1546.5269
기름,22318.178,25781.25
나무,-90.56166,1644.7478
냄비,-24218.75,25781.25
당사자,-259.50674,117.67117
대구,-148.76099,2654.875
대표,25533.791,1091.2445
댓글,-68.836365,137.1179
동안,-186.39261,28.557423
동전,-216.7705,6.764361
동한,-479.3756,191.95882
듣기,-152.14442,75.79819
떡볶이,-43.02005,1818.2515
뜨겁다,115.079506,1353.9941
라며,-189.01135,256.27628
많다,-13.535181,1327.926
맛있다,-85.984375,2165.6814
맛집,-159.29294,2791.3242
매장,-460.21902,147.84674
멜라민,462.58136,1680.4541
며못,-293.87766,255.48862
면서,-430.68246,140.33046
모집,-255.95323,-13.0355625
물질,-24218.75,25781.25
미리,-444.8921,276.14847
민경,25781.25,-24218.75
바로,-432.89294,-130.89062
발암,-24218.75,25781.25
배달,-250.03772,437.82834
백화점,-463.87585,213.36215
빵가루,22258.938,25781.25
사용,159.39185,1433.8271
서문시장,-131.36615,2422.4932
소리,-158.77783,46.715813
스텐,-365.01917,1625.4625
실리콘,-212.07451,1804.3889
아니다,-129.86441,1406.8298
안보,-541.1765,-19.338404
야합,-269.09894,-58.584652
없다,123.06042,1538.9005
여기,-83.92821,2292.807
오픈,-389.93298,225.26137
음식,-123.8058,946.2148
의심,478.8056,1728.452
이동,-425.99008,-19.94673
이유,507.32053,1649.4557
이준석,25465.004,1095.0552
장군,25781.25,-24218.75
전화번호,-283.67377,313.36188
제외,-335.33365,-94.35905
좋다,-81.06862,1580.1454
주걱,-0.87696457,1638.1519
주방,512.1752,1696.5579
처음,-107.5376,205.86482
치킨,22382.395,25781.25
코팅,-24218.75,25781.25
클로즈,-375.8337,347.67664
프라스,77.76693,1816.8994
플라스틱,7.006554,1475.3268
해도,-452.6242,177.33144
환경호르몬,327.5004,1609.3428
