id,x,y
03,192.94965,-310.83224
04,-329.6557,233.07306
041,-233.8339,16.12348
0507,-241.7439,-102.433876
10시,-177.55453,-324.15643
11시,-290.89346,-112.34595
15분,40.843575,-393.48233
1시간,192.61359,-243.47406
1일,-196.06676,132.29639
2023,-44.153904,93.536705
300,-90.85111,-217.88345
30분,36.685314,135.78435
32,276.8396,-51.943558
3시,-163.16342,177.07146
3일,-72.325424,169.4321
50,-162.45264,120.28505
967,-230.67334,56.230072
972,-280.93616,-59.11919
9월,-85.48316,146.1882
가게,141.03777,68.23847
가격,-299.4646,-82.285255
가을,273.64868,-186.8829
갈치,381.00598,173.12587
감귤,47.448734,-180.82367
건물,267.99246,-0.9157398
고속버스,-105.17017,-339.41763
공원,88.865906,473.26724
관광,-166.09904,-157.75633
관광지,-12.4987,-357.25018
광장,14.660949,85.82582
국밥,-190.65814,-80.66379
국수,-27.076048,-207.53793
김말이,-274.9167,-262.03802
낙원,-298.84857,-652.2767
날씨,-220.14503,-137.14113
냉장,-271.361,29.237375
다음,154.6069,121.266365
대한민국,28.677567,-312.15607
덥다,272.8567,-137.75748
데이트,-107.810005,-382.2019
마지막,83.85012,-378.76025
막걸리,149.50252,-328.75888
맛있다,-52.998573,55.42762
맛집,-150.02684,-52.445717
매일,230.84978,-271.4162
맥주,-47.058056,143.10469
메뉴,-241.30359,10.192164
무료,-92.64553,190.52193
방문,-207.95067,-27.910585
방문객,-170.36723,-347.9247
방법,-123.36295,-156.9971
백종원,-191.61891,106.61862
볶음,-273.55002,281.098
블로그,-68.14742,-409.4413
산맥,155.60709,181.13731
산시,-5.153883,48.446587
서울,-49.51915,184.24449
셔틀버스,227.57413,-173.24393
소개,65.02796,-340.01633
시간,-52.60111,31.353973
시장,-159.35388,30.38863
식당,230.84157,-60.164173
애플,122.972885,-355.35492
애플파이,-128.7808,-40.169655
약과,-200.75854,-446.74426
없다,-166.9531,-199.09482
여름,-149.43533,-198.91248
여행,-173.86755,-132.32503
영업,84.62825,-75.80196
예산,-26.824505,-95.4268
예산군,-113.37818,105.98326
예약,-224.36412,80.01564
오늘,-51.890457,-204.7698
오름,108.134415,-228.55411
운동장,117.05119,153.92593
운영,-141.81392,-117.15039
월요일,157.5624,-275.84833
웨이,-241.84613,-166.74144
유튜브,-104.81366,91.65139
의자,-10.621892,-402.01508
이다,81.91007,-122.82231
이번,-239.49133,-66.155365
이용,-406.3506,127.269966
이웃,35.125107,3.5738628
자마자,-221.90681,-331.24643
장점,222.09375,-121.40815
장터,62.598557,58.22014
저렴하다,109.102005,-288.67618
전통,-275.62735,-22.526445
점심,86.93622,18.919552
점심시간,243.03062,-227.54259
정보,-252.18802,-297.57196
제주,244.8236,68.43811
종합,91.31696,81.30131
좋다,286.35284,-99.93458
주말,46.73117,104.593475
주차,-325.3888,-27.478186
주차장,-73.24466,108.82768
중국집,-376.22314,185.72743
지역,-18.755045,167.47563
첫날,35.734936,240.96199
추가,76.179665,-46.218803
추천,-272.4684,-144.38087
축제,-1.6428285,190.25935
충남,-298.9646,14.452658
카페,-255.06815,73.75937
칼국수,181.94745,-188.87695
코리아,28.104282,28.051048
쿠폰,-161.42294,140.6353
터미널,208.8737,32.41997
테이블,87.626335,-14.072617
토요일,-57.737762,-347.3221
판매,-204.39363,-179.10132
페스티벌,-105.45465,161.17717
편의점,82.33302,201.34155
한국,-132.95302,147.62273
활성화,34.50878,166.20784
