,id,type,label,weight,color,relationship,x,y
0,1일,Undirected,,22,#ca0121,1일->9월,-225.71118,-498.68652
1,2시간,Undirected,,29,#cb0524,2시간->바베큐,-555.4674,-171.75104
2,3시간,Undirected,,23,#ca0121,3시간->바베큐,-586.43665,-4.3413186
3,3시간,Undirected,,24,#ca0222,3시간->축제,-586.43665,-4.3413186
4,3일,Undirected,,22,#ca0121,3일->맥주,-567.3215,55.974113
5,3일,Undirected,,20,#ca0020,3일->예산,-567.3215,55.974113
6,9월,Undirected,,24,#ca0222,9월->맥주,-275.25598,-252.98996
7,가격,Undirected,,20,#ca0020,가격->건물,-407.84183,173.04749
8,가격,Undirected,,39,#cc0b2a,가격->맥주,-407.84183,173.04749
9,가격,Undirected,,22,#ca0121,가격->바베큐,-407.84183,173.04749
10,가격,Undirected,,27,#ca0423,가격->시장,-407.84183,173.04749
11,가격,Undirected,,27,#ca0423,가격->아니다,-407.84183,173.04749
12,가격,Undirected,,40,#cc0c2a,가격->없다,-407.84183,173.04749
13,가격,Undirected,,49,#cd122f,가격->예산,-407.84183,173.04749
14,가격,Undirected,,44,#cd0e2d,가격->음식,-407.84183,173.04749
15,가격,Undirected,,32,#cb0726,가격->저렴하다,-407.84183,173.04749
16,가격,Undirected,,29,#cb0524,가격->좋다,-407.84183,173.04749
17,가격,Undirected,,27,#ca0423,가격->지역,-407.84183,173.04749
18,가격,Undirected,,39,#cc0b2a,가격->착하다,-407.84183,173.04749
19,가격,Undirected,,106,#d5354e,가격->축제,-407.84183,173.04749
20,가정,Undirected,,28,#cb0424,가정->당사자,2175.8054,-979.9719
21,가정,Undirected,,32,#cb0726,가정->이동,2175.8054,-979.9719
22,간식,Undirected,,36,#cc0928,간식->강아지,-37.92203,785.4815
23,간식,Undirected,,31,#cb0626,간식->사업,-37.92203,785.4815
24,간식,Undirected,,30,#cb0625,간식->애견,-37.92203,785.4815
25,감사,Undirected,,23,#ca0121,감사->시청,-907.12317,497.4669
26,감사,Undirected,,24,#ca0222,감사->예산,-907.12317,497.4669
27,강아지,Undirected,,31,#cb0626,강아지->대표,-182.12408,559.4391
28,강아지,Undirected,,33,#cb0827,강아지->백종원,-182.12408,559.4391
29,강아지,Undirected,,24,#ca0222,강아지->사료,-182.12408,559.4391
30,강아지,Undirected,,41,#cc0d2b,강아지->사업,-182.12408,559.4391
31,강아지,Undirected,,30,#cb0625,강아지->음식,-182.12408,559.4391
32,강아지,Undirected,,22,#ca0121,강아지->좋다,-182.12408,559.4391
33,같다,Undirected,,20,#ca0020,같다->그렇다,-326.0178,344.1919
34,같다,Undirected,,35,#cb0928,같다->대표,-326.0178,344.1919
35,같다,Undirected,,21,#ca0020,같다->많다,-326.0178,344.1919
36,같다,Undirected,,24,#ca0222,같다->맥주,-326.0178,344.1919
37,같다,Undirected,,51,#ce1330,같다->백종원,-326.0178,344.1919
38,같다,Undirected,,42,#cc0d2c,같다->사람,-326.0178,344.1919
39,같다,Undirected,,27,#ca0423,같다->아니다,-326.0178,344.1919
40,같다,Undirected,,20,#ca0020,같다->없다,-326.0178,344.1919
41,같다,Undirected,,35,#cb0928,같다->예산,-326.0178,344.1919
42,같다,Undirected,,55,#ce1533,같다->좋다,-326.0178,344.1919
43,같다,Undirected,,25,#ca0322,같다->진짜,-326.0178,344.1919
44,거리,Undirected,,24,#ca0222,거리->곱창,-943.0897,349.7807
45,거리,Undirected,,44,#cd0e2d,거리->국밥,-943.0897,349.7807
46,거리,Undirected,,23,#ca0121,거리->예산,-943.0897,349.7807
47,거위,Undirected,,23,#ca0121,거위->황금알,-2864.5908,-778.1267
48,건강하다,Undirected,,42,#cc0d2c,건강하다->대표,-107.68579,474.36887
49,건강하다,Undirected,,42,#cc0d2c,건강하다->방문,-107.68579,474.36887
50,건강하다,Undirected,,25,#ca0322,건강하다->백종원,-107.68579,474.36887
51,건강하다,Undirected,,23,#ca0121,건강하다->사상충,-107.68579,474.36887
52,건강하다,Undirected,,21,#ca0020,건강하다->영상,-107.68579,474.36887
53,건강하다,Undirected,,43,#cc0e2c,건강하다->좋다,-107.68579,474.36887
54,건강하다,Undirected,,28,#cb0424,건강하다->치료,-107.68579,474.36887
55,건강하다,Undirected,,103,#d4334d,건강하다->행복하다,-107.68579,474.36887
56,건물,Undirected,,22,#ca0121,건물->대표,-238.9063,165.86516
57,건물,Undirected,,35,#cb0928,건물->문제,-238.9063,165.86516
58,건물,Undirected,,44,#cd0e2d,건물->백종원,-238.9063,165.86516
59,건물,Undirected,,24,#ca0222,건물->사람,-238.9063,165.86516
60,건물,Undirected,,20,#ca0020,건물->상인,-238.9063,165.86516
61,건물,Undirected,,58,#ce1734,건물->시장,-238.9063,165.86516
62,건물,Undirected,,26,#ca0323,건물->아니다,-238.9063,165.86516
63,건물,Undirected,,45,#cd0f2d,건물->없다,-238.9063,165.86516
64,건물,Undirected,,43,#cc0e2c,건물->예산,-238.9063,165.86516
65,건물,Undirected,,27,#ca0423,건물->임대료,-238.9063,165.86516
66,건물,Undirected,,23,#ca0121,건물->자본주의,-238.9063,165.86516
67,건물,Undirected,,39,#cc0b2a,건물->좋다,-238.9063,165.86516
68,건물,Undirected,,91,#d32c46,건물->주가,-238.9063,165.86516
69,건물,Undirected,,31,#cb0626,건물->지역,-238.9063,165.86516
70,검다,Undirected,,23,#ca0121,검다->머리,389.09174,-3015.6497
71,견생,Undirected,,66,#cf1c39,견생->역전,925.9491,2612.8713
72,경제,Undirected,,75,#d1223e,경제->지역,-74.377464,125.35831
73,계속,Undirected,,20,#ca0020,계속->예산,-699.1282,211.92131
74,계속,Undirected,,22,#ca0121,계속->축제,-699.1282,211.92131
75,고기,Undirected,,34,#cb0827,고기->맛없다,-336.17505,-55.2798
76,고기,Undirected,,25,#ca0322,고기->맛있다,-336.17505,-55.2798
77,고기,Undirected,,32,#cb0726,고기->맥주,-336.17505,-55.2798
78,고기,Undirected,,52,#ce1331,고기->바베큐,-336.17505,-55.2798
79,고기,Undirected,,42,#cc0d2c,고기->튀김,-336.17505,-55.2798
80,고생,Undirected,,27,#ca0423,고생->덥다,-488.8405,495.43454
81,고생,Undirected,,43,#cc0e2c,고생->많다,-488.8405,495.43454
82,고생,Undirected,,46,#cd102e,고생->직원,-488.8405,495.43454
83,고향,Undirected,,23,#ca0121,고향->예산,-821.6389,398.92352
84,골목,Undirected,,21,#ca0020,골목->시장,-640.05273,466.0627
85,골목,Undirected,,71,#d01f3b,골목->식당,-640.05273,466.0627
86,과일,Undirected,,35,#cb0928,과일->맥주,-246.49995,-105.2954
87,관광,Undirected,,22,#ca0121,관광->한국,-14.857573,-85.22453
88,괜찮다,Undirected,,28,#cb0424,괜찮다->당사자,2437.3052,-1147.0106
89,괜찮다,Undirected,,32,#cb0726,괜찮다->이동,2437.3052,-1147.0106
90,구독,Undirected,,20,#ca0020,구독->좋다,44.92775,369.56332
91,국밥,Undirected,,22,#ca0121,국밥->예산,-866.43,361.57184
92,국회,Undirected,,32,#cb0726,국회->백종원,-336.3323,754.6851
93,국회의원,Undirected,,32,#cb0726,국회의원->백종원,-420.38477,769.64557
94,군민,Undirected,,22,#ca0121,군민->예산,-812.3355,351.25128
95,군수,Undirected,,35,#cb0928,군수->예산,-853.7832,302.71356
