id,x,y
1일,-225.71118,-498.68652
2시간,-555.4674,-171.75104
3시간,-586.43665,-4.3413186
3일,-567.3215,55.974113
9월,-275.25598,-252.98996
가격,-407.84183,173.04749
가정,2175.8054,-979.9719
간식,-37.92203,785.4815
감사,-907.12317,497.4669
강아지,-182.12408,559.4391
같다,-326.0178,344.1919
거리,-943.0897,349.7807
거위,-2864.5908,-778.1267
건강하다,-107.68579,474.36887
건물,-238.9063,165.86516
검다,389.09174,-3015.6497
견생,925.9491,2612.8713
경제,-74.377464,125.35831
계속,-699.1282,211.92131
고기,-336.17505,-55.2798
고생,-488.8405,495.43454
고향,-821.6389,398.92352
골목,-640.05273,466.0627
곱창,-1196.6437,362.40353
과일,-246.49995,-105.2954
관광,-14.857573,-85.22453
괜찮다,2437.3052,-1147.0106
구독,44.92775,369.56332
국밥,-866.43,361.57184
국회,-336.3323,754.6851
국회의원,-420.38477,769.64557
군민,-812.3355,351.25128
군수,-853.7832,302.71356
귀엽다,-1420.6526,2709.1243
그렇다,-102.00059,299.7868
기간,-779.20105,131.64378
기계,-600.7104,-150.93257
나라,-183.21921,420.08804
날씨,-776.22144,564.81964
내년,-619.1976,90.49614
농부,1899.3071,-2084.7588
다음,-499.48648,276.10028
당사자,2349.0737,-1038.6708
대단하다,-366.15875,429.67603
대박,-762.44617,487.1489
대통령,-295.3782,776.655
대표,-245.83598,472.7652
대한민국,-282.04553,180.25844
댓글,-41.269535,445.33762
덥다,-628.1766,475.55917
도시,-672.06,-32.367283
독일,-413.73773,-166.27814
돼지,-640.3252,158.31532
똑똑하다,-1360.4996,2571.3884
라며,2230.339,-1046.9601
만리,-196.76013,-101.83349
많다,-395.75485,320.12637
맛없다,-250.67752,105.31573
맛있다,-357.78592,180.49362
맥주,-337.1382,88.40479
머리,384.7951,-2937.1812
먹거리,-689.7771,17.970093
멋있다,-26.850183,315.95798
멋지다,-172.3826,473.8964
메뉴,-805.3827,484.2623
며못,2217.233,-950.40424
면서,2488.9348,-1016.2097
모두,-728.56305,-1.4706905
모집,2558.725,-1092.149
문제,-430.51596,136.99586
문화,-622.06757,490.46893
바가지,-655.77875,275.83072
바베큐,-444.63318,46.614857
반점,1707.7039,-2736.619
발전,-468.1076,443.32053
방문,-276.93463,539.3443
배달,2376.025,-1155.154
백종원,-384.62518,526.4874
버들,-2451.9897,254.98343
보기,44.054256,276.10635
비싸다,-446.62427,-14.685157
빠르다,-2907.7424,851.07324
삐리뽕,-2762.8247,817.9456
사과,-332.482,-170.99947
사람,-232.59612,354.01813
사랑,-296.67352,625.96423
사료,-84.619385,804.61395
사상충,186.95236,600.3773
사업,-126.30123,656.7455
사업가,-457.76254,739.989
사장,39.64759,233.10518
산시,-619.9791,234.25848
삼국,-739.8535,100.30524
상인,-421.81644,209.60588
생각,-363.31464,350.44116
서울,-850.8434,251.96349
선생님,-264.72345,735.5223
선하다,269.45316,709.0314
숙박,-775.4736,426.5529
스럽다,-97.53552,878.6856
시간,-472.73657,9.862941
시골,-831.953,444.98148
시장,-449.47427,269.99948
시청,-1135.1654,607.75366
식당,-558.6465,535.3346
식품,42.753105,1171.2714
신분,-213.527,712.874
심장,342.73056,699.1669
아니다,-383.26556,226.42657
아빠,-203.28372,597.54425
아쉽다,-737.8634,45.142136
안녕하다,-111.81565,350.57126
안되다,-16.898357,503.45404
안주,-298.71838,-140.09163
애견,-4.5042586,942.9861
얼마나,-735.6852,528.6126
업자,1006.9064,-2842.5847
없다,-411.96954,389.57034
역시,-390.7003,735.5046
역전,990.85236,2739.8293
영상,-311.04282,192.74147
영향력,40.291145,597.5393
예산,-577.00964,365.22473
오늘,-240.3638,37.609222
오픈,2456.0852,-1098.0746
욕심,-470.5192,531.0532
유튜,-2285.1816,258.52176
음식,-351.8719,281.0114
응원,-358.0796,398.42685
이다,-462.8772,422.89307
이동,2372.6797,-1041.5266
이제,-369.8844,785.851
이형,1352.0844,-2133.8137
인간,-463.30536,571.83966
임대료,-29.207842,53.37322
자본주의,-68.05278,23.544392
자영,1073.2166,-2866.1885
장관,-535.2974,656.4193
장님,-815.2407,229.45976
장사,10.111838,441.3113
재밌다,-129.0514,67.968834
잼버리,-416.2099,142.60556
저렴하다,-585.44305,56.133896
전국,-775.6848,72.1438
전용,2548.3696,-77.47046
전통,-532.29315,49.884907
전화번호,2338.8357,-942.0714
정말,-230.12567,550.9055
정치,-180.80574,520.6134
정치인,-90.55587,587.4957
존경,-233.8065,641.7425
존나,-95.33428,-120.1928
종원,1384.1632,-2070.7405
좋다,-158.22139,271.44382
주가,1.1433021,96.40929
주말,-551.1303,481.18298
주민,-33.07425,201.19693
주차장,-806.7297,301.68918
준비,-524.9349,3.909212
즐겁다,-723.9647,698.3994
지역,-255.43501,237.43774
직원,-345.07925,605.2387
진짜,-294.04904,299.93948
착하다,-471.77744,-93.7282
처음,2319.4775,-1117.9974
청년,1806.6058,-1974.9841
최고,-483.9732,436.9069
축제,-535.5315,153.75143
치료,168.45609,634.67303
클로즈,2485.8782,-1068.3207
튀김,-303.40143,-333.94894
페스티벌,-625.9266,83.82824
편의점,-245.40126,-150.31848
풍차,-507.5758,-184.1363
하루,51.797325,321.9425
한국,-225.12737,104.322754
한번,-699.4437,261.6024
한잔,-368.97687,-151.7237
항상,-167.26038,386.6047
해도,2458.7502,-975.2177
행복하다,-318.41534,394.036
홍콩,1662.7046,-2660.4248
화이팅,-593.017,612.47394
화장실,2639.3213,-63.289566
활성화,-32.06978,156.71135
황금알,-2858.9106,-706.8285
