Source,Target,Type,Id,Label,Weight,Color
가면,서문시장,Undirected,0,,10,"#ca0020"
가정,괜찮다,Undirected,1,,10,"#ca0020"
가정,당사자,Undirected,2,,29,"#e06c7f"
가정,며못,Undirected,3,,10,"#ca0020"
가정,오픈,Undirected,4,,17,"#d22843"
가정,이동,Undirected,5,,31,"#e37889"
가정,전화번호,Undirected,6,,10,"#ca0020"
가정,처음,Undirected,7,,12,"#cc0b2a"
가정,클로즈,Undirected,8,,17,"#d22843"
개통,당사자,Undirected,9,,13,"#cd112f"
개통,이동,Undirected,10,,15,"#cf1c39"
경비실,당사자,Undirected,11,,13,"#cd112f"
경비실,이동,Undirected,12,,15,"#cf1c39"
괜찮다,당사자,Undirected,13,,29,"#e06c7f"
괜찮다,며못,Undirected,14,,10,"#ca0020"
괜찮다,오픈,Undirected,15,,17,"#d22843"
괜찮다,이동,Undirected,16,,31,"#e37889"
괜찮다,전화번호,Undirected,17,,10,"#ca0020"
괜찮다,처음,Undirected,18,,12,"#cc0b2a"
괜찮다,클로즈,Undirected,19,,17,"#d22843"
국자,스텐,Undirected,20,,12,"#cc0b2a"
국자,좋다,Undirected,21,,12,"#cc0b2a"
국자,플라스틱,Undirected,22,,80,"#919191"
기름,빵가루,Undirected,23,,10,"#ca0020"
기름,치킨,Undirected,24,,15,"#cf1c39"
나무,실리콘,Undirected,25,,11,"#cb0525"
나무,좋다,Undirected,26,,13,"#cd112f"
나무,주걱,Undirected,27,,43,"#f1bdc5"
나무,플라스틱,Undirected,28,,14,"#ce1634"
냄비,코팅,Undirected,29,,15,"#cf1c39"
당사자,댓글,Undirected,30,,18,"#d32d48"
당사자,동안,Undirected,31,,18,"#d32d48"
당사자,동전,Undirected,32,,10,"#ca0020"
당사자,동한,Undirected,33,,16,"#d1223e"
당사자,듣기,Undirected,34,,10,"#ca0020"
당사자,라며,Undirected,35,,21,"#d73f57"
당사자,매장,Undirected,36,,16,"#d1223e"
당사자,며못,Undirected,37,,29,"#e06c7f"
당사자,면서,Undirected,38,,21,"#d73f57"
당사자,모집,Undirected,39,,10,"#ca0020"
당사자,미리,Undirected,40,,16,"#d1223e"
당사자,배달,Undirected,41,,31,"#e37889"
당사자,백화점,Undirected,42,,16,"#d1223e"
당사자,소리,Undirected,43,,10,"#ca0020"
당사자,안보,Undirected,44,,13,"#cd112f"
당사자,야합,Undirected,45,,13,"#cd112f"
당사자,오픈,Undirected,46,,50,"#f9e5e8"
당사자,이동,Undirected,47,,99,"#404040"
당사자,전화번호,Undirected,48,,29,"#e06c7f"
당사자,제외,Undirected,49,,13,"#cd112f"
당사자,처음,Undirected,50,,46,"#f4ced4"
당사자,클로즈,Undirected,51,,50,"#f9e5e8"
당사자,해도,Undirected,52,,21,"#d73f57"
대구,맛집,Undirected,53,,11,"#cb0525"
대구,서문시장,Undirected,54,,25,"#db556b"
대표,이준석,Undirected,55,,13,"#cd112f"
댓글,이동,Undirected,56,,22,"#d8445c"
댓글,처음,Undirected,57,,14,"#ce1634"
동안,이동,Undirected,58,,22,"#d8445c"
동안,처음,Undirected,59,,14,"#ce1634"
동전,이동,Undirected,60,,16,"#d1223e"
동전,처음,Undirected,61,,12,"#cc0b2a"
동한,오픈,Undirected,62,,10,"#ca0020"
동한,이동,Undirected,63,,16,"#d1223e"
동한,클로즈,Undirected,64,,10,"#ca0020"
듣기,이동,Undirected,65,,14,"#ce1634"
듣기,처음,Undirected,66,,12,"#cc0b2a"
떡볶이,맛있다,Undirected,67,,19,"#d4334d"
떡볶이,플라스틱,Undirected,68,,20,"#d53952"
뜨겁다,플라스틱,Undirected,69,,19,"#d4334d"
라며,오픈,Undirected,70,,12,"#cc0b2a"
라며,이동,Undirected,71,,25,"#db556b"
라며,처음,Undirected,72,,10,"#ca0020"
라며,클로즈,Undirected,73,,12,"#cc0b2a"
많다,플라스틱,Undirected,74,,10,"#ca0020"
맛있다,서문시장,Undirected,75,,20,"#d53952"
맛있다,여기,Undirected,76,,11,"#cb0525"
매장,오픈,Undirected,77,,10,"#ca0020"
매장,이동,Undirected,78,,16,"#d1223e"
매장,클로즈,Undirected,79,,10,"#ca0020"
멜라민,의심,Undirected,80,,29,"#e06c7f"
멜라민,이유,Undirected,81,,27,"#de6175"
멜라민,주방,Undirected,82,,29,"#e06c7f"
멜라민,환경호르몬,Undirected,83,,31,"#e37889"
며못,오픈,Undirected,84,,17,"#d22843"
며못,이동,Undirected,85,,31,"#e37889"
며못,전화번호,Undirected,86,,10,"#ca0020"
며못,처음,Undirected,87,,12,"#cc0b2a"
며못,클로즈,Undirected,88,,17,"#d22843"
면서,오픈,Undirected,89,,12,"#cc0b2a"
면서,이동,Undirected,90,,23,"#d94a61"
면서,처음,Undirected,91,,10,"#ca0020"
면서,클로즈,Undirected,92,,12,"#cc0b2a"
모집,이동,Undirected,93,,14,"#ce1634"
모집,처음,Undirected,94,,12,"#cc0b2a"
물질,발암,Undirected,95,,19,"#d4334d"
미리,오픈,Undirected,96,,10,"#ca0020"
미리,이동,Undirected,97,,16,"#d1223e"
미리,클로즈,Undirected,98,,10,"#ca0020"
민경,장군,Undirected,99,,14,"#ce1634"
바로,이동,Undirected,100,,12,"#cc0b2a"
배달,오픈,Undirected,101,,16,"#d1223e"
배달,음식,Undirected,102,,12,"#cc0b2a"
배달,이동,Undirected,103,,37,"#ea9aa7"
배달,처음,Undirected,104,,22,"#d8445c"
배달,클로즈,Undirected,105,,16,"#d1223e"
백화점,오픈,Undirected,106,,10,"#ca0020"
백화점,이동,Undirected,107,,16,"#d1223e"
백화점,클로즈,Undirected,108,,10,"#ca0020"
사용,플라스틱,Undirected,109,,10,"#ca0020"
소리,이동,Undirected,110,,14,"#ce1634"
소리,처음,Undirected,111,,12,"#cc0b2a"
아니다,플라스틱,Undirected,112,,14,"#ce1634"
안보,이동,Undirected,113,,15,"#cf1c39"
야합,이동,Undirected,114,,15,"#cf1c39"
없다,플라스틱,Undirected,115,,17,"#d22843"
오픈,이동,Undirected,116,,54,"#fefcfc"
오픈,전화번호,Undirected,117,,17,"#d22843"
오픈,처음,Undirected,118,,22,"#d8445c"
오픈,클로즈,Undirected,119,,29,"#e06c7f"
오픈,해도,Undirected,120,,12,"#cc0b2a"
음식,플라스틱,Undirected,121,,17,"#d22843"
의심,이유,Undirected,122,,26,"#dd5b70"
의심,주방,Undirected,123,,28,"#df677a"
의심,환경호르몬,Undirected,124,,27,"#de6175"
이동,전화번호,Undirected,125,,31,"#e37889"
이동,제외,Undirected,126,,15,"#cf1c39"
이동,처음,Undirected,127,,58,"#efefef"
이동,클로즈,Undirected,128,,54,"#fefcfc"
이동,해도,Undirected,129,,23,"#d94a61"
이유,주방,Undirected,130,,27,"#de6175"
이유,환경호르몬,Undirected,131,,27,"#de6175"
전화번호,처음,Undirected,132,,12,"#cc0b2a"
전화번호,클로즈,Undirected,133,,17,"#d22843"
좋다,주걱,Undirected,134,,13,"#cd112f"
좋다,플라스틱,Undirected,135,,11,"#cb0525"
주걱,프라스,Undirected,136,,12,"#cc0b2a"
주걱,플라스틱,Undirected,137,,34,"#e68998"
주방,환경호르몬,Undirected,138,,27,"#de6175"
처음,클로즈,Undirected,139,,22,"#d8445c"
처음,해도,Undirected,140,,10,"#ca0020"
