Source,Target,Type,Id,Label,Weight,Color
03,예산,Undirected,0,,10,"#ca0020"
04,시장,Undirected,1,,10,"#ca0020"
041,50,Undirected,2,,12,"#ca0020"
041,시장,Undirected,3,,30,"#cb0827"
041,예산,Undirected,4,,37,"#cc0b2a"
0507,시장,Undirected,5,,11,"#ca0020"
0507,예산,Undirected,6,,12,"#ca0020"
10시,예산,Undirected,7,,11,"#ca0020"
11시,시장,Undirected,8,,13,"#ca0121"
11시,예산,Undirected,9,,19,"#ca0323"
15분,예산,Undirected,10,,10,"#ca0020"
1시간,예산,Undirected,11,,10,"#ca0020"
1일,9월,Undirected,12,,22,"#cb0524"
1일,시장,Undirected,13,,13,"#ca0121"
1일,예산,Undirected,14,,17,"#ca0322"
2023,3일,Undirected,15,,19,"#ca0323"
2023,50,Undirected,16,,24,"#cb0625"
2023,9월,Undirected,17,,18,"#ca0323"
2023,광장,Undirected,18,,18,"#ca0323"
2023,맛있다,Undirected,19,,11,"#ca0020"
2023,맥주,Undirected,20,,113,"#d32d47"
2023,산시,Undirected,21,,41,"#cc0d2b"
2023,시간,Undirected,22,,10,"#ca0020"
2023,시장,Undirected,23,,182,"#d94b62"
2023,예산,Undirected,24,,267,"#e17082"
2023,예산군,Undirected,25,,19,"#ca0323"
2023,장터,Undirected,26,,14,"#ca0121"
2023,종합,Undirected,27,,11,"#ca0020"
2023,주말,Undirected,28,,10,"#ca0020"
2023,주차장,Undirected,29,,34,"#cc0a29"
2023,지역,Undirected,30,,15,"#ca0221"
2023,축제,Undirected,31,,73,"#cf1b38"
2023,코리아,Undirected,32,,20,"#ca0423"
2023,페스티벌,Undirected,33,,45,"#cd0f2d"
2023,한국,Undirected,34,,11,"#ca0020"
300,시장,Undirected,35,,12,"#ca0020"
300,예산,Undirected,36,,12,"#ca0020"
30분,맥주,Undirected,37,,23,"#cb0524"
30분,산시,Undirected,38,,12,"#ca0020"
30분,시장,Undirected,39,,42,"#cc0e2c"
30분,예산,Undirected,40,,52,"#cd1230"
32,예산,Undirected,41,,10,"#ca0020"
3시,맥주,Undirected,42,,14,"#ca0121"
3시,시장,Undirected,43,,11,"#ca0020"
3시,예산,Undirected,44,,20,"#ca0423"
3일,9월,Undirected,45,,23,"#cb0524"
3일,맥주,Undirected,46,,29,"#cb0827"
3일,시장,Undirected,47,,30,"#cb0827"
3일,예산,Undirected,48,,56,"#ce1431"
3일,축제,Undirected,49,,21,"#cb0424"
3일,페스티벌,Undirected,50,,16,"#ca0222"
50,967,Undirected,51,,15,"#ca0221"
50,맛있다,Undirected,52,,15,"#ca0221"
50,맛집,Undirected,53,,21,"#cb0424"
50,맥주,Undirected,54,,13,"#ca0121"
50,메뉴,Undirected,55,,10,"#ca0020"
50,방문,Undirected,56,,11,"#ca0020"
50,산시,Undirected,57,,27,"#cb0726"
50,시간,Undirected,58,,10,"#ca0020"
50,시장,Undirected,59,,167,"#d8455c"
50,애플파이,Undirected,60,,10,"#ca0020"
50,예산,Undirected,61,,205,"#db556a"
50,예산군,Undirected,62,,22,"#cb0524"
50,예약,Undirected,63,,11,"#ca0020"
50,유튜브,Undirected,64,,24,"#cb0625"
50,주차장,Undirected,65,,24,"#cb0625"
967,시장,Undirected,66,,20,"#ca0423"
967,예산,Undirected,67,,26,"#cb0726"
972,시장,Undirected,68,,12,"#ca0020"
972,예산,Undirected,69,,16,"#ca0222"
9월,맥주,Undirected,70,,48,"#cd102e"
9월,산시,Undirected,71,,13,"#ca0121"
9월,시장,Undirected,72,,45,"#cd0f2d"
9월,예산,Undirected,73,,66,"#cf1835"
9월,축제,Undirected,74,,22,"#cb0524"
9월,페스티벌,Undirected,75,,13,"#ca0121"
가게,갈치,Undirected,76,,14,"#ca0121"
가게,산시,Undirected,77,,14,"#ca0121"
가게,시장,Undirected,78,,12,"#ca0020"
가게,예산,Undirected,79,,18,"#ca0323"
가게,제주,Undirected,80,,14,"#ca0121"
가격,시장,Undirected,81,,17,"#ca0322"
가격,예산,Undirected,82,,27,"#cb0726"
가을,예산,Undirected,83,,10,"#ca0020"
갈치,제주,Undirected,84,,14,"#ca0121"
감귤,시장,Undirected,85,,10,"#ca0020"
감귤,예산,Undirected,86,,14,"#ca0121"
감귤,오름,Undirected,87,,10,"#ca0020"
건물,예산,Undirected,88,,10,"#ca0020"
고속버스,예산,Undirected,89,,10,"#ca0020"
공원,축제,Undirected,90,,10,"#ca0020"
관광,시장,Undirected,91,,11,"#ca0020"
관광,예산,Undirected,92,,17,"#ca0322"
관광지,예산,Undirected,93,,11,"#ca0020"
광장,맥주,Undirected,94,,12,"#ca0020"
광장,시장,Undirected,95,,43,"#cd0e2c"
광장,예산,Undirected,96,,84,"#d0203c"
광장,장터,Undirected,97,,61,"#ce1633"
광장,주차장,Undirected,98,,13,"#ca0121"
국밥,시장,Undirected,99,,12,"#ca0020"
국밥,예산,Undirected,100,,15,"#ca0221"
국수,시장,Undirected,101,,16,"#ca0222"
국수,예산,Undirected,102,,26,"#cb0726"
김말이,예산,Undirected,103,,10,"#ca0020"
낙원,약과,Undirected,104,,14,"#ca0121"
날씨,시장,Undirected,105,,13,"#ca0121"
날씨,예산,Undirected,106,,20,"#ca0423"
냉장,시장,Undirected,107,,10,"#ca0020"
냉장,예산,Undirected,108,,11,"#ca0020"
다음,맥주,Undirected,109,,10,"#ca0020"
다음,예산,Undirected,110,,13,"#ca0121"
대한민국,예산,Undirected,111,,13,"#ca0121"
덥다,예산,Undirected,112,,11,"#ca0020"
데이트,예산,Undirected,113,,11,"#ca0020"
마지막,예산,Undirected,114,,10,"#ca0020"
막걸리,예산,Undirected,115,,10,"#ca0020"
맛있다,맥주,Undirected,116,,12,"#ca0020"
맛있다,산시,Undirected,117,,15,"#ca0221"
맛있다,시장,Undirected,118,,53,"#cd1230"
맛있다,예산,Undirected,119,,78,"#d01d3a"
맛집,산시,Undirected,120,,10,"#ca0020"
맛집,시장,Undirected,121,,63,"#ce1734"
맛집,예산,Undirected,122,,95,"#d12540"
매일,예산,Undirected,123,,13,"#ca0121"
맥주,무료,Undirected,124,,22,"#cb0524"
맥주,백종원,Undirected,125,,11,"#ca0020"
맥주,산시,Undirected,126,,45,"#cd0f2d"
맥주,서울,Undirected,127,,19,"#ca0323"
맥주,시간,Undirected,128,,10,"#ca0020"
맥주,시장,Undirected,129,,191,"#da4f65"
맥주,예산,Undirected,130,,387,"#eca5b0"
맥주,예산군,Undirected,131,,33,"#cc0a28"
맥주,운동장,Undirected,132,,15,"#ca0221"
맥주,유튜브,Undirected,133,,17,"#ca0322"
맥주,종합,Undirected,134,,17,"#ca0322"
맥주,주말,Undirected,135,,29,"#cb0827"
맥주,주차장,Undirected,136,,35,"#cc0a29"
맥주,지역,Undirected,137,,15,"#ca0221"
맥주,첫날,Undirected,138,,10,"#ca0020"
맥주,축제,Undirected,139,,156,"#d74058"
맥주,쿠폰,Undirected,140,,38,"#cc0c2a"
맥주,페스티벌,Undirected,141,,70,"#cf1a37"
맥주,편의점,Undirected,142,,10,"#ca0020"
맥주,한국,Undirected,143,,13,"#ca0121"
메뉴,시장,Undirected,144,,28,"#cb0726"
메뉴,예산,Undirected,145,,34,"#cc0a29"
무료,시장,Undirected,146,,22,"#cb0524"
무료,예산,Undirected,147,,36,"#cc0b29"
무료,축제,Undirected,148,,12,"#ca0020"
방문,시장,Undirected,149,,33,"#cc0a28"
방문,예산,Undirected,150,,39,"#cc0c2b"
방문객,예산,Undirected,151,,16,"#ca0222"
방법,시장,Undirected,152,,11,"#ca0020"
방법,예산,Undirected,153,,10,"#ca0020"
백종원,시장,Undirected,154,,48,"#cd102e"
백종원,예산,Undirected,155,,53,"#cd1230"
볶음,시장,Undirected,156,,13,"#ca0121"
블로그,예산,Undirected,157,,20,"#ca0423"
산맥,예산,Undirected,158,,10,"#ca0020"
산맥,축제,Undirected,159,,10,"#ca0020"
산시,시간,Undirected,160,,10,"#ca0020"
산시,시장,Undirected,161,,32,"#cc0928"
산시,애플파이,Undirected,162,,11,"#ca0020"
산시,예산,Undirected,163,,42,"#cc0e2c"
산시,유튜브,Undirected,164,,19,"#ca0323"
산시,이웃,Undirected,165,,16,"#ca0222"
산시,점심,Undirected,166,,10,"#ca0020"
산시,주말,Undirected,167,,21,"#cb0424"
산시,주차장,Undirected,168,,24,"#cb0625"
산시,추가,Undirected,169,,15,"#ca0221"
산시,축제,Undirected,170,,18,"#ca0323"
산시,코리아,Undirected,171,,10,"#ca0020"
산시,테이블,Undirected,172,,13,"#ca0121"
서울,시장,Undirected,173,,42,"#cc0e2c"
서울,예산,Undirected,174,,56,"#ce1431"
서울,축제,Undirected,175,,10,"#ca0020"
서울,페스티벌,Undirected,176,,11,"#ca0020"
셔틀버스,예산,Undirected,177,,10,"#ca0020"
소개,예산,Undirected,178,,10,"#ca0020"
시간,시장,Undirected,179,,52,"#cd1230"
시간,영업,Undirected,180,,33,"#cc0a28"
시간,예산,Undirected,181,,74,"#cf1c38"
시간,운영,Undirected,182,,17,"#ca0322"
시장,애플파이,Undirected,183,,31,"#cb0928"
시장,없다,Undirected,184,,15,"#ca0221"
시장,여름,Undirected,185,,19,"#ca0323"
시장,여행,Undirected,186,,12,"#ca0020"
시장,영업,Undirected,187,,17,"#ca0322"
시장,예산,Undirected,188,,1170,"#404040"
시장,예산군,Undirected,189,,25,"#cb0625"
시장,예약,Undirected,190,,49,"#cd112e"
시장,오늘,Undirected,191,,13,"#ca0121"
시장,운영,Undirected,192,,12,"#ca0020"
시장,웨이,Undirected,193,,11,"#ca0020"
시장,유튜브,Undirected,194,,48,"#cd102e"
시장,이다,Undirected,195,,24,"#cb0625"
시장,이번,Undirected,196,,13,"#ca0121"
시장,이용,Undirected,197,,10,"#ca0020"
시장,이웃,Undirected,198,,16,"#ca0222"
시장,장터,Undirected,199,,38,"#cc0c2a"
시장,전통,Undirected,200,,23,"#cb0524"
시장,점심,Undirected,201,,24,"#cb0625"
시장,종합,Undirected,202,,10,"#ca0020"
시장,주말,Undirected,203,,50,"#cd112f"
시장,주차,Undirected,204,,30,"#cb0827"
시장,주차장,Undirected,205,,91,"#d1233f"
시장,중국집,Undirected,206,,11,"#ca0020"
시장,지역,Undirected,207,,30,"#cb0827"
시장,추가,Undirected,208,,11,"#ca0020"
시장,추천,Undirected,209,,23,"#cb0524"
시장,축제,Undirected,210,,125,"#d4324c"
시장,충남,Undirected,211,,26,"#cb0726"
시장,카페,Undirected,212,,21,"#cb0424"
시장,코리아,Undirected,213,,53,"#cd1230"
시장,쿠폰,Undirected,214,,18,"#ca0323"
시장,테이블,Undirected,215,,30,"#cb0827"
시장,판매,Undirected,216,,10,"#ca0020"
시장,페스티벌,Undirected,217,,57,"#ce1432"
시장,한국,Undirected,218,,18,"#ca0323"
시장,활성화,Undirected,219,,23,"#cb0524"
식당,예산,Undirected,220,,12,"#ca0020"
애플,예산,Undirected,221,,12,"#ca0020"
애플파이,예산,Undirected,222,,36,"#cc0b29"
약과,예산,Undirected,223,,10,"#ca0020"
없다,예산,Undirected,224,,17,"#ca0322"
여름,예산,Undirected,225,,24,"#cb0625"
여행,예산,Undirected,226,,31,"#cb0928"
영업,예산,Undirected,227,,28,"#cb0726"
예산,예산군,Undirected,228,,35,"#cc0a29"
예산,예약,Undirected,229,,55,"#ce1331"
예산,오늘,Undirected,230,,17,"#ca0322"
예산,오름,Undirected,231,,11,"#ca0020"
예산,운동장,Undirected,232,,32,"#cc0928"
예산,운영,Undirected,233,,15,"#ca0221"
예산,월요일,Undirected,234,,10,"#ca0020"
예산,웨이,Undirected,235,,15,"#ca0221"
예산,유튜브,Undirected,236,,59,"#ce1532"
예산,의자,Undirected,237,,11,"#ca0020"
예산,이다,Undirected,238,,25,"#cb0625"
예산,이번,Undirected,239,,21,"#cb0424"
예산,이웃,Undirected,240,,25,"#cb0625"
예산,자마자,Undirected,241,,12,"#ca0020"
예산,장점,Undirected,242,,17,"#ca0322"
예산,장터,Undirected,243,,80,"#d01e3a"
예산,저렴하다,Undirected,244,,11,"#ca0020"
예산,전통,Undirected,245,,16,"#ca0222"
예산,점심,Undirected,246,,29,"#cb0827"
예산,점심시간,Undirected,247,,10,"#ca0020"
예산,정보,Undirected,248,,10,"#ca0020"
예산,제주,Undirected,249,,11,"#ca0020"
예산,종합,Undirected,250,,45,"#cd0f2d"
예산,좋다,Undirected,251,,14,"#ca0121"
예산,주말,Undirected,252,,64,"#ce1734"
예산,주차,Undirected,253,,42,"#cc0e2c"
예산,주차장,Undirected,254,,144,"#d63a53"
예산,지역,Undirected,255,,43,"#cd0e2c"
예산,첫날,Undirected,256,,17,"#ca0322"
예산,추가,Undirected,257,,20,"#ca0423"
예산,추천,Undirected,258,,33,"#cc0a28"
예산,축제,Undirected,259,,255,"#e06b7e"
예산,충남,Undirected,260,,37,"#cc0b2a"
예산,카페,Undirected,261,,35,"#cc0a29"
예산,칼국수,Undirected,262,,11,"#ca0020"
예산,코리아,Undirected,263,,61,"#ce1633"
예산,쿠폰,Undirected,264,,28,"#cb0726"
예산,터미널,Undirected,265,,19,"#ca0323"
예산,테이블,Undirected,266,,35,"#cc0a29"
예산,토요일,Undirected,267,,14,"#ca0121"
예산,판매,Undirected,268,,17,"#ca0322"
예산,페스티벌,Undirected,269,,96,"#d12541"
예산,편의점,Undirected,270,,16,"#ca0222"
예산,한국,Undirected,271,,25,"#cb0625"
예산,활성화,Undirected,272,,26,"#cb0726"
예산군,유튜브,Undirected,273,,12,"#ca0020"
예산군,주차장,Undirected,274,,11,"#ca0020"
운동장,종합,Undirected,275,,30,"#cb0827"
이웃,추가,Undirected,276,,41,"#cc0d2b"
종합,터미널,Undirected,277,,10,"#ca0020"
주말,축제,Undirected,278,,14,"#ca0121"
주차장,축제,Undirected,279,,26,"#cb0726"
지역,축제,Undirected,280,,26,"#cb0726"
지역,활성화,Undirected,281,,29,"#cb0827"
축제,활성화,Undirected,282,,12,"#ca0020"
