Source,Target,Type,Id,Label,Weight,Color
1일,9월,Undirected,0,,22,"#ca0121"
2시간,바베큐,Undirected,1,,29,"#cb0524"
3시간,바베큐,Undirected,2,,23,"#ca0121"
3시간,축제,Undirected,3,,24,"#ca0222"
3일,맥주,Undirected,4,,22,"#ca0121"
3일,예산,Undirected,5,,20,"#ca0020"
9월,맥주,Undirected,6,,24,"#ca0222"
가격,건물,Undirected,7,,20,"#ca0020"
가격,맥주,Undirected,8,,39,"#cc0b2a"
가격,바베큐,Undirected,9,,22,"#ca0121"
가격,시장,Undirected,10,,27,"#ca0423"
가격,아니다,Undirected,11,,27,"#ca0423"
가격,없다,Undirected,12,,40,"#cc0c2a"
가격,예산,Undirected,13,,49,"#cd122f"
가격,음식,Undirected,14,,44,"#cd0e2d"
가격,저렴하다,Undirected,15,,32,"#cb0726"
가격,좋다,Undirected,16,,29,"#cb0524"
가격,지역,Undirected,17,,27,"#ca0423"
가격,착하다,Undirected,18,,39,"#cc0b2a"
가격,축제,Undirected,19,,106,"#d5354e"
가정,당사자,Undirected,20,,28,"#cb0424"
가정,이동,Undirected,21,,32,"#cb0726"
간식,강아지,Undirected,22,,36,"#cc0928"
간식,사업,Undirected,23,,31,"#cb0626"
간식,애견,Undirected,24,,30,"#cb0625"
감사,시청,Undirected,25,,23,"#ca0121"
감사,예산,Undirected,26,,24,"#ca0222"
강아지,대표,Undirected,27,,31,"#cb0626"
강아지,백종원,Undirected,28,,33,"#cb0827"
강아지,사료,Undirected,29,,24,"#ca0222"
강아지,사업,Undirected,30,,41,"#cc0d2b"
강아지,음식,Undirected,31,,30,"#cb0625"
강아지,좋다,Undirected,32,,22,"#ca0121"
같다,그렇다,Undirected,33,,20,"#ca0020"
같다,대표,Undirected,34,,35,"#cb0928"
같다,많다,Undirected,35,,21,"#ca0020"
같다,맥주,Undirected,36,,24,"#ca0222"
같다,백종원,Undirected,37,,51,"#ce1330"
같다,사람,Undirected,38,,42,"#cc0d2c"
같다,아니다,Undirected,39,,27,"#ca0423"
같다,없다,Undirected,40,,20,"#ca0020"
같다,예산,Undirected,41,,35,"#cb0928"
같다,좋다,Undirected,42,,55,"#ce1533"
같다,진짜,Undirected,43,,25,"#ca0322"
거리,곱창,Undirected,44,,24,"#ca0222"
거리,국밥,Undirected,45,,44,"#cd0e2d"
거리,예산,Undirected,46,,23,"#ca0121"
거위,황금알,Undirected,47,,23,"#ca0121"
건강하다,대표,Undirected,48,,42,"#cc0d2c"
건강하다,방문,Undirected,49,,42,"#cc0d2c"
건강하다,백종원,Undirected,50,,25,"#ca0322"
건강하다,사상충,Undirected,51,,23,"#ca0121"
건강하다,영상,Undirected,52,,21,"#ca0020"
건강하다,좋다,Undirected,53,,43,"#cc0e2c"
건강하다,치료,Undirected,54,,28,"#cb0424"
건강하다,행복하다,Undirected,55,,103,"#d4334d"
건물,대표,Undirected,56,,22,"#ca0121"
건물,문제,Undirected,57,,35,"#cb0928"
건물,백종원,Undirected,58,,44,"#cd0e2d"
건물,사람,Undirected,59,,24,"#ca0222"
건물,상인,Undirected,60,,20,"#ca0020"
건물,시장,Undirected,61,,58,"#ce1734"
건물,아니다,Undirected,62,,26,"#ca0323"
건물,없다,Undirected,63,,45,"#cd0f2d"
건물,예산,Undirected,64,,43,"#cc0e2c"
건물,임대료,Undirected,65,,27,"#ca0423"
건물,자본주의,Undirected,66,,23,"#ca0121"
건물,좋다,Undirected,67,,39,"#cc0b2a"
건물,주가,Undirected,68,,91,"#d32c46"
건물,지역,Undirected,69,,31,"#cb0626"
검다,머리,Undirected,70,,23,"#ca0121"
견생,역전,Undirected,71,,66,"#cf1c39"
경제,지역,Undirected,72,,75,"#d1223e"
계속,예산,Undirected,73,,20,"#ca0020"
계속,축제,Undirected,74,,22,"#ca0121"
고기,맛없다,Undirected,75,,34,"#cb0827"
고기,맛있다,Undirected,76,,25,"#ca0322"
고기,맥주,Undirected,77,,32,"#cb0726"
고기,바베큐,Undirected,78,,52,"#ce1331"
고기,튀김,Undirected,79,,42,"#cc0d2c"
고생,덥다,Undirected,80,,27,"#ca0423"
고생,많다,Undirected,81,,43,"#cc0e2c"
고생,직원,Undirected,82,,46,"#cd102e"
고향,예산,Undirected,83,,23,"#ca0121"
골목,시장,Undirected,84,,21,"#ca0020"
골목,식당,Undirected,85,,71,"#d01f3b"
과일,맥주,Undirected,86,,35,"#cb0928"
관광,한국,Undirected,87,,22,"#ca0121"
괜찮다,당사자,Undirected,88,,28,"#cb0424"
괜찮다,이동,Undirected,89,,32,"#cb0726"
구독,좋다,Undirected,90,,20,"#ca0020"
국밥,예산,Undirected,91,,22,"#ca0121"
국회,백종원,Undirected,92,,32,"#cb0726"
국회의원,백종원,Undirected,93,,32,"#cb0726"
군민,예산,Undirected,94,,22,"#ca0121"
군수,예산,Undirected,95,,35,"#cb0928"
귀엽다,똑똑하다,Undirected,96,,22,"#ca0121"
그렇다,사람,Undirected,97,,21,"#ca0020"
기간,축제,Undirected,98,,61,"#cf1936"
기계,바베큐,Undirected,99,,21,"#ca0020"
나라,백종원,Undirected,100,,27,"#ca0423"
나라,사람,Undirected,101,,21,"#ca0020"
나라,지역,Undirected,102,,20,"#ca0020"
날씨,덥다,Undirected,103,,47,"#cd102e"
내년,맥주,Undirected,104,,22,"#ca0121"
내년,예산,Undirected,105,,32,"#cb0726"
내년,축제,Undirected,106,,52,"#ce1331"
농부,청년,Undirected,107,,20,"#ca0020"
다음,영상,Undirected,108,,23,"#ca0121"
다음,예산,Undirected,109,,31,"#cb0626"
다음,축제,Undirected,110,,41,"#cc0d2b"
당사자,라며,Undirected,111,,28,"#cb0424"
당사자,며못,Undirected,112,,28,"#cb0424"
당사자,면서,Undirected,113,,20,"#ca0020"
당사자,배달,Undirected,114,,32,"#cb0726"
당사자,오픈,Undirected,115,,44,"#cd0e2d"
당사자,이동,Undirected,116,,80,"#d12540"
당사자,전화번호,Undirected,117,,28,"#cb0424"
당사자,처음,Undirected,118,,32,"#cb0726"
당사자,클로즈,Undirected,119,,44,"#cd0e2d"
당사자,해도,Undirected,120,,20,"#ca0020"
대단하다,대표,Undirected,121,,52,"#ce1331"
대단하다,백종원,Undirected,122,,74,"#d1213d"
대단하다,사람,Undirected,123,,48,"#cd112f"
대단하다,신분,Undirected,124,,25,"#ca0322"
대단하다,예산,Undirected,125,,23,"#ca0121"
대단하다,정말,Undirected,126,,48,"#cd112f"
대단하다,존경,Undirected,127,,22,"#ca0121"
대단하다,진짜,Undirected,128,,68,"#d01d3a"
대단하다,축제,Undirected,129,,24,"#ca0222"
대박,예산,Undirected,130,,20,"#ca0020"
대통령,백종원,Undirected,131,,68,"#d01d3a"
대표,대한민국,Undirected,132,,28,"#cb0424"
대표,많다,Undirected,133,,24,"#ca0222"
대표,멋지다,Undirected,134,,31,"#cb0626"
대표,백종원,Undirected,135,,171,"#dd5e72"
대표,사람,Undirected,136,,48,"#cd112f"
대표,사랑,Undirected,137,,32,"#cb0726"
대표,사업,Undirected,138,,20,"#ca0020"
대표,생각,Undirected,139,,28,"#cb0424"
