Keyword,Count
플라스틱,249
국자,111
서문시장,104
나라,87
일본,85
팔고,81
단어,81
기름,77
음식,73
주걱,72
대구,70
감사합니다,56
떡볶이,55
환경호르몬,54
사람,52
시장,50
멜라민,48
나무,45
영상,43
프라스,40
냄비,37
주방,35
댓글,34
이유,34
하는,33
치킨,31
그냥,30
의심,29
진짜,28
위생,26
먹는,24
먹고,24
하지,23
장갑,23
물질,23
먹을,22
없는,22
뜨거운,21
실리콘,21
국수,21
사용,20
그릇,20
이런,20
생각,20
여기,20
어디,20
마세요,18
장사,18
가격,18
요리,18
발암,17
입니다,17
스텐,17
코팅,17
식당,17
광고,16
보고,16
얼마,16
배달,16
보면,15
무슨,15
햇반,15
별로,15
고무장갑,14
말레,14
아니,14
있는,14
순대,14
가지,14
드시는,14
동네,13
맛집,13
합니다,13
먹지,13
먹어,13
가요,13
제주도,13
치맥,13
만두,13
저런,13
다음,12
가게,12
돼지,12
도구,12
하나,12
없어,12
제발,12
하면,12
감사,12
핫도그,11
빵가루,11
조리,11
계속,11
쓰지,11
튀기는,11
때문,11
온도,11
하시는,11
바꾸세요,11
먹음,11
드립니다,10
하세요,10
없음,10
좋은,10
파는,10
고생,10
벗겨진,10
고기,10
정도,10
바닥,10
같은,10
만원,10
한국,10
해서,10
그럼,10
문제,10
광장시장,10
간장,9
요즘,9
우리,9
쓰면,9
해주세요,9
해야,9
지금,9
유튜브,9
가면,9
장군,9
정말,9
타령,9
많은,9
되는,9
처음,9
방송,9
하고,9
없고,8
하네,8
집은,8
하루,8
호르몬,8
먹으면,8
사장,8
덩어리,8
서문,8
비싼,8
내년,8
구석,8
수집,8
정치,8
대한민국,8
홍보,8
혼자,8
끓는,8
보는,8
보니,8
오늘,8
카드,8
식품,8
반갑습니다,8
다른,8
비닐,8
주세요,7
언제,7
아줌마,7
있음,7
집도,7
많아,7
먹으러,7
부산,7
하나요,7
해도,7
가고,7
당신,7
삼각,7
세균,7
우산,7
서울,7
축제,7
보이는데,7
녹은,7
얼마나,7
민경,7
사랑,7
한다,7
미세,7
마라,7
아니라,7
라면,6
칼국수,6
드세요,6
오염수,6
무식한,6
오픈,6
같아요,6
하는데,6
더럽게,6
보네,6
누가,6
해먹,6
나이,6
않는,6
