Keyword,Count
예산,688
시장,470
맥주,265
축제,146
맛집,73
산시,71
페스티벌,65
예산군,53
시간,46
지역,40
맛있었어요,38
주차장,38
주말,35
코리아,35
서울,31
유튜브,30
추천,28
카페,27
활성화,27
종합,25
운동장,24
백종원,23
애플,22
쿠폰,22
입니다,20
무료,20
오늘,19
광장,19
점심,19
일간,18
이웃,18
여름,17
애플파이,17
한국,17
추가,16
파이,16
예약,15
장터,15
여행,15
겸사,14
날씨,14
방문,14
매일,13
상설,13
공원,13
메뉴,13
토요일,12
편의점,12
감귤,12
영업,11
기다리는,11
월일,11
소개,11
맛있어요,10
방문객,10
가게,10
주차,10
판매,10
동안,10
국밥,10
대한민국,10
칼국수,9
사과,9
첫날,9
테이블,9
충남,9
먹고,8
마지막,8
데이트,8
가격,8
어제,8
전통,8
튜브,8
가을,8
산맥,8
국수,8
블로그,8
오름,7
웨이,7
투어,7
우유,7
고속버스,7
관광지,7
김밥,7
운영,7
좋은,7
청년,7
다음,7
정보,6
고민,6
휴가,6
거리,6
대회,6
진영,6
예산역,6
식당,6
버스,6
주간,6
월요일,6
올해,6
관광,6
맛있었고,6
약과,6
터미널,6
회유,6
디저트,6
인스타그램,5
광장시장,5
일정,5
설탕,5
내일,5
도넛,5
인터넷,5
맛있었습니다,5
우리,5
포기,5
합니다,5
경제,5
할인,5
개월,5
일기,5
필수,5
덕산,5
우산,5
소금,5
제주,5
특산,5
할머니,5
예산읍,5
커피,5
마을,4
곱창,4
간식,4
달빛,4
문화,4
사진,4
먹거리,4
김용,4
했어요,4
아침,4
장날,4
바베큐,4
맛있어,4
장소,4
사과파이,4
이번,4
먹방,4
공연,4
살리기,4
과일,4
캠퍼스,4
전화번호,4
연휴,4
저렴한,4
추석,4
전국,4
센터,4
음식,4
카이,4
냉장,4
시월,4
앉아,4
자리,4
행복,4
창업,4
건물,4
식사,4
티켓,4
소식,4
관광객,4
전화,4
수익,4
낙원,4
글로벌,4
하다가,4
맛있어서,4
도시,4
크림,4
농부,4
여기,3
주도,3
다리는,3
대전,3
대학생,3
통닭,3
가족,3
화장실,3
하니,3
드릴,3
충청도,3
가볼,3
청주,3
유튜버들,3
회원,3
코스,3
사람,3
박사,3
시작,3
프로,3
아기,3
