Keyword,Count
예산,789
시장,599
산시,192
맥주,129
주차장,118
축제,105
시간,99
광장,70
유튜브,67
예산군,66
예약,64
코리아,59
장터,58
서울,58
주말,54
테이블,42
페스티벌,34
메뉴,33
주차,33
방문,32
점심,31
상설,30
일간,29
가게,29
가격,28
한국,26
추가,25
백종원,25
여행,24
여름,23
이웃,23
국수,22
영업,22
충남,21
블로그,21
맛집,20
했다,20
카페,18
이번,17
대한민국,16
날씨,16
입니다,16
제주,16
방문객,16
종합,15
지역,15
쿠폰,15
중국집,15
경제,14
애플파이,14
무료,14
파이,14
전통,13
국밥,13
버스,13
갈치,13
추천,13
판매,13
오늘,13
가을,12
낙원,12
월요일,12
냉장,12
점심시간,12
식당,12
했어요,12
관광,12
이용,12
고기,11
행사,11
커피,11
자마자,11
월일,11
냉장고,11
운영,11
예산읍,10
약과,10
건물,10
거리,10
터미널,10
예산역,10
애플,10
방법,10
관광지,10
해야,10
볶음,9
하는,9
더운,9
억원,9
사진,9
칼국수,9
셔틀버스,9
주차공간,9
일본,9
대기,9
개월,9
요리,8
음식,8
운동장,8
광장시장,8
구매,8
포기,8
나도,8
없었고,8
장점,8
기다리는,8
의자,8
김말이,8
크림,8
하니,7
정보,7
느린,7
멸치,7
겸사,7
도시,7
뉴스,7
웨이,7
기름,7
기차,7
사업,7
프로젝트,7
인스타그램,7
우유,7
기다렸다가,7
가볼,7
오픈,7
할인,7
동안,6
해서,6
않았다,6
국제,6
도착,6
비빔국수,6
카드,6
만원,6
말까,6
투어,6
공원,6
막걸리,6
후기,6
체험,6
다음,6
태풍,6
휴가,6
감귤,6
숙박업소,6
시간표,6
활성화,6
대회,5
진한,5
운전,5
우리,5
안내,5
가입,5
데이트,5
숙박,5
토요일,5
대표,5
근처,5
정도,5
바베큐,5
센터,5
마을,5
버터,5
전화번호,5
박사,5
편의점,5
사람,4
출발,4
국밥집,4
요금,4
영상,4
우산,4
시골,4
연구소,4
프로그램,4
생각,4
정부,4
시즌,4
주문,4
시내버스,4
김용,4
포스터,4
입력,4
번길,4
호텔,4
도로,4
다리,4
혁신,4
파는,4
번호,4
근교,4
닭강정,4
비싼,4
분유,4
핫플,4
꿀팁,4
느낌,4
보관,4
고속도로,4
