Keyword,Count
예산,1680
축제,1136
백종원,1007
사람,972
시장,721
건물,612
맥주,548
바베큐,532
지역,510
하는,502
대표,494
가격,464
동네,425
시간,383
영상,377
음식,376
진짜,360
웃기는,347
텃새,344
심하고,344
고기,339
생각,305
감사합니다,223
정치인,222
상인,205
문제,201
정치,201
이런,198
없는,197
산시,191
해야,179
다른,173
댓글,172
가게,172
보고,171
한국,168
하면,166
직원,165
사업,161
먹고,159
바가지,158
아닌,157
고생,156
그냥,156
잼버리,155
정말,150
사장,150
돼지,148
다음,148
대통령,147
식당,146
나라,146
대한민국,144
입니다,142
같은,140
내년,139
합니다,139
하지,132
없다,132
욕심,126
있는,125
하나,122
장사,122
보면,120
인간,119
강아지,119
쓰레기,117
많은,117
없음,116
계속,116
대단한,114
정부,113
얼마나,112
공무원,110
유튜브,109
국회의원,106
해서,106
숙박,105
먹는,105
사업가,104
거지,104
좋은,103
아니,103
만원,102
장관,101
일본,98
되는,97
정도,96
이유,94
가는,93
행사,93
가지,92
방송,89
천원,87
자본주의,85
냄새,85
거리,85
대단하다,84
국회,84
저런,83
누가,80
골목,80
경제,79
부동산,78
아니라,78
머리,78
서울,77
없다고,77
소리,77
하고,76
무슨,76
본인,75
먹을,75
준비,74
가고,73
주가,72
다시,71
뉴스,71
요금,70
주말,70
하세요,70
도시,70
사회,69
홍보,69
화장실,69
해주세요,69
어디,68
개인,67
기업,67
장님,67
때문,67
코리아,67
우리나라,66
건가,66
회사,66
발전,66
존경,66
응원,65
하시는,65
이름,65
아저씨,65
채널,65
포기,64
주세요,64
한다,64
누구,64
라면,63
아니고,62
나중,62
싶다,62
어떻게,62
예산군,62
이상,62
업자,62
아님,62
상권,62
튀김,61
오늘,61
쓰는,61
가서,60
임대료,60
하는데,60
마세요,59
관광,59
우리,59
가보고,59
이번,59
제발,59
지금,58
수준,58
문화,58
그런,58
선생님,57
없어,57
기회,57
이면,57
되면,57
최악,56
웃기,56
세금,55
처음,55
숙박업소,55
언제,55
자리,55
역시,55
받고,55
개선,54
하루,54
국밥,54
없고,53
날씨,52
치료,52
가면,52
솔직히,51
동안,51
이제,51
사상충,51
많아서,51
실망,51
하네,50
